#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2023-06-21-10-42-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1602054821.349998	CDbdvr2huURAD34bpk	198.232.186.10	89	131.243.64.12	123	3	3	6	1024.000000	0.000000	0.045898	1.306122	192.168.128.12	1602054820.788512	1602053796.797631	1602053796.838149	1602054820.850517	0
1602054821.350736	CDbdvr2huURAD34bpk	198.232.186.10	89	131.243.64.12	123	3	4	1	1024.000000	0.000000	0.000000	0.001083	GPS\x00	1602054816.275866	1602054820.850517	1602054821.350547	1602054821.350564	0
1602054824.910182	CU4ogY3Om3ILy9JvWe	198.232.186.10	391	131.243.64.11	123	3	3	5	1024.000000	0.000000	0.012360	0.117706	10.1.128.12	1602054824.873912	1602053800.880068	1602053800.883594	1602054824.904915	0
1602054824.911213	CU4ogY3Om3ILy9JvWe	198.232.186.10	391	131.243.64.11	123	3	4	1	1024.000000	0.000000	0.000000	0.001022	GPS\x00	1602054822.276329	1602054824.904915	1602054824.910939	1602054824.911000	0
1602054824.925718	CXv2iQ2hbDHzToGNN7	198.232.186.10	391	131.243.64.12	123	3	3	5	1024.000000	0.000000	0.012360	0.117706	10.1.128.12	1602054824.873379	1602053800.895632	1602053800.899071	1602054824.920383	0
1602054824.926733	CXv2iQ2hbDHzToGNN7	198.232.186.10	391	131.243.64.12	123	3	4	1	1024.000000	0.000000	0.000000	0.001129	GPS\x00	1602054816.275866	1602054824.920383	1602054824.926546	1602054824.926561	0
1602054825.640773	C6Tik92aw8LciBXeQ6	198.232.186.10	487	131.243.64.11	123	3	3	6	16384.000000	0.000000	0.013138	-0.484406	10.1.128.14	1602046649.573506	1602038441.628124	1602038441.605913	1602054825.605508	0
1602054825.641253	C6Tik92aw8LciBXeQ6	198.232.186.10	487	131.243.64.11	123	3	4	1	16384.000000	0.000000	0.000000	0.001038	GPS\x00	1602054822.276329	1602054825.605508	1602054825.640970	1602054825.641014	0
1602054826.708106	Cvsyx53OiZRRmbfr84	198.232.186.10	506	131.243.64.12	123	3	3	5	16384.000000	0.000000	0.013000	0.303619	10.1.128.12	1602054826.630838	1602038442.686696	1602038442.656330	1602054826.677841	0
1602054826.708757	Cvsyx53OiZRRmbfr84	198.232.186.10	506	131.243.64.12	123	3	4	1	16384.000000	0.000000	0.000000	0.001160	GPS\x00	1602054816.275866	1602054826.677841	1602054826.708545	1602054826.708561	0
1602054826.723778	ClDX4P366pEXukyiCa	198.232.186.10	506	131.243.64.11	123	3	3	5	16384.000000	0.000000	0.013000	0.303619	10.1.128.12	1602054826.630491	1602038442.702116	1602038442.671626	1602054826.693496	0
1602054826.724202	ClDX4P366pEXukyiCa	198.232.186.10	506	131.243.64.11	123	3	4	1	16384.000000	0.000000	0.000000	0.001053	GPS\x00	1602054822.276329	1602054826.693496	1602054826.723938	1602054826.723993	0
1602054846.826048	CS2ISv2I59B2O39cUb	198.232.186.10	26	131.243.64.11	123	3	3	5	1024.000000	0.000000	0.014175	0.128326	10.1.128.12	1602054846.778456	1602053822.808092	1602053822.816540	1602054846.825459	0
1602054846.827230	CS2ISv2I59B2O39cUb	198.232.186.10	26	131.243.64.11	123	3	4	1	1024.000000	0.000000	0.000000	0.001114	GPS\x00	1602054838.276157	1602054846.825459	1602054846.826938	1602054846.826992	0
1602054846.841850	CfbVQR18WK2qeP320k	198.232.186.10	26	131.243.64.12	123	3	3	5	1024.000000	0.000000	0.014175	0.128326	10.1.128.12	1602054846.778275	1602053822.823633	1602053822.832143	1602054846.841280	0
